category,gene,D1_fc,D4_fc,D7_fc,D14_fc,pattern
LD_formation,Plin2,4.00534380230393,4.99365705711935,3.20522820981548,2.91789665040632,sustained_up
LD_formation,Plin3,1.20940622407332,1.52619582075771,2.06873263525498,1.33704278125377,sustained_up
LD_formation,Plin4,0.698015880175355,-0.778800517187921,-4.7227407312095,-2.94077658700977,other
LD_formation,Plin5,0.0,-0.720924081901844,3.50874066924231,1.58823823273873,not_sig
LD_formation,Dgat1,-0.0160690046587386,0.451841556233882,0.0235081428671656,1.81446158592914,late_D14
LD_formation,Dgat2,-1.45321858305207,-1.58342722386434,0.188808919050977,-1.89645137078353,not_sig
LD_formation,Soat1,1.36624869372795,1.71459436807259,1.81664022628016,1.74566982833084,sustained_up
LD_formation,Acat1,0.228324228806022,-0.738412563635553,0.0878498625169551,-0.474042857861993,not_sig
LD_formation,Acat2,0.158714429893008,-0.875832109429009,-0.87277910159648,-0.756290289546046,not_sig
LD_formation,Fasn,0.53790800701535,-1.85869015703102,-0.457266002065442,-1.17891440053277,not_sig
LD_formation,Acaca,1.21238709908414,-0.287555160340624,0.449277054022065,0.802203464775919,not_sig
FA_uptake,Cd36,4.50634523530983,2.94164199942106,3.81428863352373,1.19665648281795,D7_peak_resolve
FA_uptake,Fabp5,2.44217290259031,3.28033231840368,3.4341602921431,4.88594273035763,sustained_up
FA_uptake,Fabp4,-0.416028300774636,4.65439795103847,1.2118920369293,3.76372442734015,subacute_D4
FA_uptake,Fabp7,-1.1373885097624,0.837132651163516,0.83816670574857,-0.521228686414566,not_sig
FA_uptake,Slc27a1,-0.004219127268235,-0.58312419588432,1.79524787132446,-0.227648611783739,not_sig
FA_uptake,Slc27a4,0.336529095692373,-0.327013074464433,-0.376574284311196,0.0974741369399275,not_sig
FA_uptake,Lpl,5.52971615731925,3.5992830291179,3.1886075362028,4.89552751889357,sustained_up
FA_uptake,Vldlr,0.132296139530563,-0.913130507041239,-2.35549127448915,-0.462388431348831,not_sig
FA_uptake,Ldlr,0.733628756928136,-1.32756593789209,-1.98407288179018,-2.30103974918273,not_sig
FA_uptake,Lrp1,0.0165333460969979,-0.0731550228602834,0.315589162423607,0.0222442114637603,not_sig
Lipoprotein,Apoe,-1.71730310246601,2.00371463447152,3.55827276353303,5.07476696413904,other
Lipoprotein,Apoc1,-0.892793367686256,4.48390593282019,2.85213095297925,5.39649021057313,other
Lipoprotein,Apob,3.15092880401366,2.7810262497074,-1.47615036740819,-0.545676424040015,not_sig
Lipoprotein,Abca1,0.996741562191102,1.14156741746556,1.39226318496933,1.71256198081922,other
Lipoprotein,Abcg1,0.27778703809674,1.23475618623526,2.13815964341131,1.48355452038803,D7_peak_resolve
Lipolysis,Lipa,0.251291249819996,2.22199233223612,1.99820340138693,1.75028039159333,subacute_D4
Lipolysis,Mgll,-3.11614351297756,-3.474638934078,-2.53887524569908,-1.64135303002892,other
Lipolysis,Pnpla2,-0.830730283739596,-0.563379674153547,0.180253199639547,-0.184746804253223,not_sig
Lipolysis,Abhd5,0.524609895098785,0.547582446168329,0.161528349679115,1.34460751614528,late_D14
Lipolysis,Ces1d,-0.598552834912407,-0.727184095586479,-4.47210233188559,0.436090032041796,not_sig
Lipolysis,Nceh1,2.6083064232133,2.01560439441387,2.21608771545709,1.97415116168226,sustained_up
FA_oxidation,Cpt1a,0.0393242893646619,0.952832345068692,1.37707048423913,0.688110274129075,D7_peak_resolve
FA_oxidation,Cpt2,-0.491961903991695,-0.334135783542437,-0.230664679802799,-1.33646763857424,late_D14
FA_oxidation,Acox1,0.116817235664226,-0.4083626075895,-0.0528106767264613,0.0232021536494117,not_sig
FA_oxidation,Acadl,0.617879981884844,0.443353254420406,1.07431639905443,0.141258724839548,not_sig
FA_oxidation,Acadm,-0.357862455104513,-0.274386365721611,0.234517411171274,-0.687329386789177,not_sig
FA_oxidation,Acads,-1.04546779252635,-0.139298051682384,0.204790750384458,-0.589587892089194,not_sig
FA_oxidation,Ppara,-1.5212100108379,-4.01736328989941,-4.5642162541534,-2.21019354504909,not_sig
FA_oxidation,Pparg,-0.581367341607813,1.9842938728415,1.46623327346305,6.57743990667666,late_D14
FA_oxidation,Ppargc1a,-2.80792904048138,-2.12049247451426,-1.41017100918571,-3.62828837055741,acute_D1
Cholesterol,Hmgcr,0.777509765463067,-0.677207330039575,0.301444494336012,-0.785671353289259,not_sig
Cholesterol,Hmgcs1,-0.640850205501781,-1.87202559553927,-0.464910658173354,-0.426363133832429,other
Cholesterol,Cyp46a1,-2.93501581429612,-4.17265858447625,-4.02198494843978,-3.75657949650171,other
Cholesterol,Nr1h3,1.06238597946841,2.33188426498569,2.02954215134793,8.63189545462143,other
Cholesterol,Nr1h2,-0.0244615363647632,-0.6442995503874,0.0050119927778082,-0.286851569671557,not_sig
Cholesterol,Abca1,0.996741562191102,1.14156741746556,1.39226318496933,1.71256198081922,other
Cholesterol,Abcg1,0.27778703809674,1.23475618623526,2.13815964341131,1.48355452038803,D7_peak_resolve
DHA_PUFA,Mfsd2a,-2.97082383686,-2.46607604159372,-4.49185178999999,-3.97518615427463,other
DHA_PUFA,Elovl2,-2.15792987496703,-2.66704576019919,-2.7794410561339,-0.578824924397335,not_sig
DHA_PUFA,Elovl4,-1.00369765403315,-3.5753336466679,-0.603720860735503,-1.89141233123887,other
DHA_PUFA,Elovl5,0.0497196693591808,-0.87411320587514,0.190450354642164,0.0835803331671218,not_sig
DHA_PUFA,Fads1,-0.731037574098486,-2.268206007989,-0.567781162546926,-0.616625379733646,other
DHA_PUFA,Fads2,-2.52855641715035,-3.43917246279132,-2.0782391438313,-1.5576123501345,other
DHA_PUFA,Pla2g4a,1.16701668113344,1.17481805381081,-0.277367180636017,-0.770948341724857,subacute_D4
DHA_PUFA,Alox5,-0.69788393432185,-0.143482903689412,-1.19989157761707,-0.67455509627932,not_sig
DHA_PUFA,Alox12,-0.582066122948514,0.441597623480067,0.17090323403317,1.79557764191777,not_sig
DHA_PUFA,Alox15,0.831820022000063,5.38694708295054,0.089220208910274,-0.535030480060144,subacute_D4
DHA_PUFA,Ptgs1,-1.73559096804577,-1.31440088373649,-1.59545389795059,-0.916894033065187,acute_D1
DHA_PUFA,Ptgs2,5.59298036301464,3.77085278057342,3.20980618192141,1.48634033603258,D7_peak_resolve
Sphingolipid,Smpd1,-0.598592865624353,-0.795227816813759,-0.469938647077354,-1.4287978652489,not_sig
Sphingolipid,Smpd3,-0.0618473362450857,-3.47730153962249,-2.07888111567485,-2.15271197033757,other
Sphingolipid,Asah1,-0.181175411999421,0.417667735213409,0.749061463772996,0.588533099839311,not_sig
Sphingolipid,Cers2,0.7818494675109,0.532612355290627,0.491729743706203,0.455849756548836,not_sig
Sphingolipid,Cers6,0.883776667351698,0.459621288072558,0.842273004863269,2.32947304579528,late_D14
Sphingolipid,Sphk1,5.00096215254112,0.844054576561504,-0.163344840406497,-1.94788997618125,acute_D1
Sphingolipid,Sgpl1,0.416742790162648,0.686526565520436,0.910345972656703,1.01966343748265,not_sig
Myelin_lipid,Plp1,0.104040178393487,0.967661318134367,0.335579903900494,1.6648241799699,not_sig
Myelin_lipid,Mbp,-2.88997050378347,-1.79257087335375,-1.05971742734481,-0.637343088519653,acute_D1
Myelin_lipid,Mag,-0.156072328884275,0.648029819546868,-0.893666221493064,0.408253139015907,not_sig
Myelin_lipid,Mog,1.11985421555668,2.0008487187667,0.396874444896721,0.775294500995242,not_sig
Myelin_lipid,Cnp,-0.308307713485859,0.142484309174848,0.30080328842616,0.467459654561047,not_sig
Myelin_lipid,Ugt8a,-4.33999248354659,2.14327205866577,0.460304095769805,2.26551464542904,acute_D1
LD_regulators,Grn,-0.0991740212231447,1.34893439452828,1.24370735578846,0.739584887486627,not_sig
LD_regulators,Trem2,-1.32729418136126,0.588425779953994,0.774090100066646,0.471391445339791,acute_D1
LD_regulators,Hdac3,0.328157540996115,0.0856051708207992,0.266395756222658,1.12426312532416,late_D14
LD_regulators,Tfeb,-1.05459928541202,0.0765230276001805,0.374336359809329,-0.509238924933313,not_sig
LD_regulators,Atg7,0.150160259955405,0.92359080678625,1.35880449553232,1.87458829276014,not_sig
LD_regulators,Becn1,0.48952116613223,-0.159132070062214,0.667861459012385,0.989761643544916,not_sig
